decision,net_return
2009-12-11,-0.00215889763066078
2009-12-18,-0.0010524941911625105
2009-12-24,-0.000917680180074188
2009-12-31,-0.0028283471993465906
2010-01-08,-0.0020276533356566925
2010-01-15,0.001516929177627066
2010-01-22,-0.003967545528764942
2010-01-29,0.0017142959405229527
2010-02-05,-0.0032892841500945435
2010-02-12,-0.001981751372063489
2010-02-19,-0.0008548300762763655
2010-02-26,-0.0035316388677605745
2010-03-05,-0.0009018681935216594
2010-03-12,-0.0026897570005425028
2010-03-19,-0.0005503882770560747
2010-03-26,0.0012256231652390214
2010-04-01,-0.0010632104479030083
2010-04-09,0.0005714081075545764
2010-04-16,-0.0039159784795946085
2010-04-23,-0.000237522636099249
2010-04-30,0.0020310742780856967
2010-05-07,-0.0006933652382942497
2010-05-14,-0.0032547009564541604
2010-05-21,-0.002876125377131053
2010-05-28,0.0048475892977658626
2010-06-04,0.00013700311217511248
2010-06-11,0.0028681952902321235
2010-06-18,-0.0032039645274126076
2010-06-25,-0.0026571642147389268
2010-07-02,0.0021068508007998604
2010-07-09,-0.001735148485958779
2010-07-16,-0.007322100301033746
2010-07-23,-0.000613488868890165
2010-07-30,-0.003898003771468254
2010-08-06,-0.0033467449778133655
2010-08-13,-0.0028016874328069836
2010-08-20,-0.0023496720510413523
2010-08-27,0.006084206179069137
2010-09-03,0.005601192504431681
2010-09-10,-0.003113257456790524
2010-09-17,-0.0005728015854119849
2010-09-24,5.2651187138875164e-05
2010-10-01,0.0002451602114468363
2010-10-08,0.0031625159584888728
2010-10-15,-0.000168909778733436
2010-10-22,0.0015353622821488032
2010-10-29,-0.004212489419844316
2010-11-05,8.101489943666102e-05
2010-11-12,0.0027615929184349667
2010-11-19,0.0010087181672476392
2010-11-26,0.00044776513068699175
2010-12-03,0.0014751675715076937
2010-12-10,-0.004239048599635639
2010-12-17,0.0006880699286579216
2010-12-23,-0.00011032274081197962
2010-12-31,-0.0038271559843295454
2011-01-07,-0.004573771829389928
2011-01-14,0.0010336258095333738
2011-01-21,-0.0009513306524015754
2011-01-28,0.00046249102252707785
2011-02-04,0.001927890765433183
2011-02-11,-0.006205064037399553
2011-02-18,-0.004524509548455312
2011-02-25,0.001423359159513506
2011-03-04,-0.0014693991873388186
2011-03-11,0.0023173092031208015
2011-03-18,0.003394477294126766
2011-03-25,0.0019053985316077205
2011-04-01,0.0003330063839776427
2011-04-08,-0.0011778026294700938
2011-04-15,0.0013522526564059077
2011-04-21,-0.002082119701305548
2011-04-29,-0.0005365348409717757
2011-05-06,-0.0067731059850401655
2011-05-13,-0.001084029399039614
2011-05-20,0.0021764827751463763
2011-05-27,-0.005158742765432827
2011-06-03,-0.0007781215948020833
2011-06-10,0.00184745041180889
2011-06-17,0.001722370087129272
2011-06-24,-0.004790501987620871
2011-07-01,-0.0012811471595469712
2011-07-08,0.005488737606538993
2011-07-15,-0.003981003752388735
2011-07-22,-0.005631477057426117
2011-07-29,-0.0004512338808791112
2011-08-05,0.00933562825016374
2011-08-12,-0.02844273601390017
2011-08-19,0.019294456480218193
