,SPY,IWM,EFA,EEM,TLT,IEF,LQD,HYG,GLD,SLV,DBC,USO,UUP,FXE,FXY,VNQ
2004-02-24,43953000,14174400,1583402,950402.0,940900,299600,63100,,,,,,,,,
2004-02-25,31213600,10497800,1878002,752402.0,572300,108700,49500,,,,,,,,,
2004-02-26,29683000,8306000,1798802,1440003.0,399100,169800,37700,,,,,,,,,
2004-02-27,39312000,9046400,2097302,2112304.0,836000,161900,39700,,,,,,,,,
2004-03-01,33130800,11023800,1406701,1488603.0,771900,284600,291000,,,,,,,,,
2004-03-02,38556400,14427200,1731302,1095302.0,676000,284500,51800,,,,,,,,,
2004-03-03,31346200,8672200,1524302,2036704.0,718000,270400,58800,,,,,,,,,
2004-03-04,21060000,4835200,1689902,837902.0,421600,383700,128000,,,,,,,,,
2004-03-05,55905600,9174400,1099501,1043102.0,2789800,904800,158600,,,,,,,,,
2004-03-08,39281600,7698400,1105501,1356303.0,1309400,208400,61000,,,,,,,,,
2004-03-09,39746100,11062800,1269601,1146602.0,829000,254300,71000,,,,,,,,,
2004-03-10,67671800,17782400,1806302,3870908.0,878900,245100,60300,,,,,,,,,
2004-03-11,89134800,21168000,2135402,3832208.0,1337200,486800,145800,,,,,,,,,
2004-03-12,54012200,13307200,1599302,1795504.0,442100,245600,69700,,,,,,,,,
2004-03-15,57677200,21094200,2073002,2127604.0,756200,432800,67900,,,,,,,,,
2004-03-16,59832600,34804602,1428901,2356205.0,1384000,179100,98600,,,,,,,,,
2004-03-17,41607300,18236800,1678202,3899708.0,1936500,522300,34700,,,,,,,,,
2004-03-18,60014300,17929000,2881503,1188002.0,1842100,207200,173700,,,,,,,,,
2004-03-19,48636200,14281000,1089901,2424605.0,366700,329500,139700,,,,,,,,,
2004-03-22,62752100,18560800,1711502,3333607.0,947200,87300,48400,,,,,,,,,
2004-03-23,54080200,15123600,1414501,1305003.0,562200,200400,65600,,,,,,,,,
2004-03-24,51584300,13165400,1770902,889202.0,327400,397900,38200,,,,,,,,,
2004-03-25,49873600,19901400,2658003,1724404.0,514000,71000,50500,,,,,,,,,
2004-03-26,37409500,11659800,1619702,1903504.0,1378600,316200,139200,,,,,,,,,
2004-03-29,44113600,15617400,1683302,1031402.0,2454000,196500,153900,,,,,,,,,
2004-03-30,39059900,9919000,1302601,2089804.0,1021000,78500,60900,,,,,,,,,
2004-03-31,48517600,13493800,2627103,1773904.0,1647300,222000,246500,,,,,,,,,
2004-04-01,45103800,9806600,2286302,1648803.0,1309200,438500,393100,,,,,,,,,
2004-04-02,50987700,12827200,2089802,4001408.0,2603700,321800,226800,,,,,,,,,
2004-04-05,30251800,7325800,1556702,1177202.0,1422700,214500,127600,,,,,,,,,
2004-04-06,28420900,10185200,1522802,721802.0,1695400,87400,48800,,,,,,,,,
2004-04-07,45890500,10875800,1743302,1936804.0,659600,144100,29900,,,,,,,,,
2004-04-08,46929700,9078200,1018801,802802.0,893700,43200,36000,,,,,,,,,
2004-04-12,23085200,7693000,880501,1048502.0,311700,98900,79900,,,,,,,,,
2004-04-13,56210300,16763800,972901,1538103.0,1449500,382100,91300,,,,,,,,,
2004-04-14,62322300,15333200,1487402,2323805.0,2529200,473900,134200,,,,,,,,,
2004-04-15,61602500,13483800,2116802,1017002.0,1184800,128200,144000,,,,,,,,,
2004-04-16,47059200,13355800,814801,1371603.0,986900,135900,32200,,,,,,,,,
2004-04-19,28277600,11097200,1103101,1085402.0,682100,211700,47300,,,,,,,,,
2004-04-20,53299400,16261000,874201,2962806.0,1618700,395700,35000,,,,,,,,,
2004-04-21,50177300,12280600,1887902,1021502.0,763600,340300,245500,,,,,,,,,
2004-04-22,62071500,14381000,1066201,3693608.0,1024300,1074000,37000,,,,,,,,,
2004-04-23,29395700,9105200,1048501,1196102.0,963200,94800,67100,,,,,,,,,
2004-04-26,35515200,10511800,1864202,1556103.0,515800,51700,61000,,,,,,,,,
