,SPY,IWM,EFA,EEM,TLT,IEF,LQD,HYG,GLD,SLV,DBC,USO,UUP,FXE,FXY,VNQ
2003-12-29,111.16,112.15,134.7899,161.2398,86.2,84.92,111.18,,,,,,,,,
2003-12-30,111.18,112.44,135.0499,162.0096,85.85,84.83,110.75,,,,,,,,,
2003-12-31,111.28,110.8,136.7799,163.9296,85.45,84.7,110.57,,,,,,,,,
2004-01-02,111.23,111.99,137.1499,167.5797,84.44,84.02,109.78,,,,,,,,,
2004-01-05,112.44,113.3,139.7899,173.4597,84.22,83.95,109.9,,,,,,,,,
2004-01-06,112.55,113.15,139.9999,171.4995,85.15,84.58,110.89,,,,,,,,,
2004-01-07,112.93,114.35,138.5999,171.8997,85.49,84.77,110.98,,,,,,,,,
2004-01-08,113.38,115.22,140.5899,172.5495,85.46,84.77,111.16,,,,,,,,,
2004-01-09,112.39,114.3,139.6999,172.2396,86.95,85.77,112.06,,,,,,,,,
2004-01-12,113.22,116.44,139.6599,172.0896,86.88,85.77,112.25,,,,,,,,,
2004-01-13,112.56,115.95,138.8499,171.1095,87.47,86.23,112.55,,,,,,,,,
2004-01-14,113.5,116.55,140.0499,171.3795,87.9,86.4,112.79,,,,,,,,,
2004-01-15,113.78,116.85,139.1999,167.8797,88.23,86.45,113.3,,,,,,,,,
2004-01-16,114.23,117.5,138.6999,168.5997,87.61,86.09,112.8,,,,,,,,,
2004-01-20,114.2,118.91,140.1999,173.4996,87.59,85.94,112.57,,,,,,,,,
2004-01-21,115.1,118.75,141.8999,173.7297,87.8,86.19,112.83,,,,,,,,,
2004-01-22,114.8,118.08,141.9899,173.2896,88.44,86.56,113.4,,,,,,,,,
2004-01-23,114.43,118.72,140.4699,172.9995,87.38,85.91,112.5,,,,,,,,,
2004-01-26,115.87,119.9,140.9199,174.1497,86.85,85.55,111.88,,,,,,,,,
2004-01-27,114.68,118.4,140.2999,173.2695,87.39,85.89,112.56,,,,,,,,,
2004-01-28,113.37,116.55,138.4999,170.8197,86.62,85.27,111.67,,,,,,,,,
2004-01-29,113.48,115.45,138.6799,168.1296,86.44,85.17,111.65,,,,,,,,,
2004-01-30,113.48,115.6,138.3199,167.8998,87.04,85.56,111.92,,,,,,,,,
