,ACWI
2011-03-14,34.5403
2011-03-15,33.9918
2011-03-16,33.1581
2011-03-17,33.6773
2011-03-18,34.0722
2011-03-21,34.6646
2011-03-22,34.7085
2011-03-23,34.7377
2011-03-24,35.118
2011-03-25,34.9352
2011-03-28,34.8328
2011-03-29,35.118
2011-03-30,35.4106
2011-03-31,35.3667
2011-04-01,35.6373
2011-04-04,35.7397
2011-04-05,35.7689
2011-04-06,35.9517
2011-04-07,35.8128
2011-04-08,35.8713
2011-04-11,35.7104
2011-04-12,35.3959
2011-04-13,35.5129
2011-04-14,35.5568
2011-04-15,35.5203
2011-04-18,35.0156
2011-04-19,35.3082
2011-04-20,35.9298
2011-04-21,36.1784
2011-04-25,36.1053
2011-04-26,36.4637
2011-04-27,36.8366
2011-04-28,36.961
2011-04-29,37.0707
2011-05-02,37.0195
2011-05-03,36.7196
2011-05-04,36.4052
2011-05-05,35.8932
2011-05-06,36.0176
2011-05-09,36.2589
2011-05-10,36.5368
2011-05-11,36.0102
2011-05-12,36.1419
2011-05-13,35.5714
2011-05-16,35.4398
2011-05-17,35.5276
2011-05-18,35.8201
2011-05-19,35.9737
2011-05-20,35.5861
2011-05-23,34.9279
2011-05-24,35.0303
2011-05-25,35.1692
2011-05-26,35.5276
2011-05-27,35.7104
2011-05-31,36.3466
2011-06-01,35.5129
2011-06-02,35.6373
2011-06-03,35.4398
2011-06-06,34.9791
2011-06-07,35.1546
2011-06-08,34.8182
2011-06-09,35.1912
2011-06-10,34.5257
2011-06-13,34.5549
2011-06-14,34.9718
2011-06-15,34.1966
2011-06-16,34.1161
2011-06-17,34.1966
2011-06-20,34.3282
2011-06-21,34.9133
2011-06-22,34.6483
2011-06-23,34.4115
2011-06-24,34.1303
2011-06-27,34.4041
2011-06-28,34.8333
2011-06-29,35.2922
2011-06-30,35.7066
2011-07-01,36.1876
2011-07-05,36.0766
2011-07-06,35.973
2011-07-07,36.2986
2011-07-08,35.9804
2011-07-11,35.0775
2011-07-12,34.8629
2011-07-13,35.2848
2011-07-14,34.9887
2011-07-15,35.2108
2011-07-18,34.7445
2011-07-19,35.2922
2011-07-20,35.4032
2011-07-21,36.0174
2011-07-22,36.084
2011-07-25,35.8694
2011-07-26,35.9212
2011-07-27,35.1442
2011-07-28,34.9887
2011-07-29,34.8925
2011-08-01,34.5817
2011-08-02,33.7825
2011-08-03,33.8787
2011-08-04,31.9916
2011-08-05,32.1026
2011-08-08,29.8825
2011-08-09,31.444
2011-08-10,29.9787
2011-08-11,31.3404
2011-08-12,31.6068
2011-08-15,32.3542
2011-08-16,31.851
2011-08-17,32.0508
2011-08-18,30.6003
2011-08-19,30.0157
2011-08-22,30.1785
2011-08-23,31.1924
2011-08-24,31.3182
2011-08-25,30.7632
2011-08-26,31.1332
2011-08-29,32.0138
2011-08-30,32.0286
2011-08-31,32.3246
2011-09-01,32.1026
2011-09-02,31.3404
2011-09-06,30.7928
2011-09-07,31.666
2011-09-08,31.1998
2011-09-09,30.2673
2011-09-12,30.2525
2011-09-13,30.5041
2011-09-14,30.8668
2011-09-15,31.3774
2011-09-16,31.4514
2011-09-19,30.9334
2011-09-20,30.8668
2011-09-21,29.9787
2011-09-22,28.7429
2011-09-23,29.0167
2011-09-26,29.6161
2011-09-27,30.1785
2011-09-28,29.5791
2011-09-29,29.9861
2011-09-30,28.9501
2011-10-03,28.1212
2011-10-04,28.6615
2011-10-05,29.2461
2011-10-06,29.9269
2011-10-07,29.6531
2011-10-10,30.8002
2011-10-11,30.7706
2011-10-12,31.2516
2011-10-13,31.185
2011-10-14,31.777
2011-10-17,31.0518
2011-10-18,31.6586
2011-10-19,31.185
2011-10-20,31.1332
2011-10-21,31.851
2011-10-24,32.3394
2011-10-25,31.7622
2011-10-26,32.2284
2011-10-27,33.5457
2011-10-28,33.4347
2011-10-31,32.2284
2011-11-01,31.2516
2011-11-02,31.814
2011-11-03,32.48
2011-11-04,32.1544
2011-11-07,32.3838
2011-11-08,32.7316
2011-11-09,31.2605
2011-11-10,31.5254
2011-11-11,32.2506
2011-11-14,31.8658
2011-11-15,31.9546
2011-11-16,31.4144
2011-11-17,30.8224
2011-11-18,30.8668
2011-11-21,30.0971
2011-11-22,30.0379
2011-11-23,29.3349
2011-11-25,29.1943
2011-11-28,30.2821
2011-11-29,30.4005
2011-11-30,31.8584
2011-12-01,31.7548
2011-12-02,31.74
2011-12-05,32.0508
2011-12-06,31.9916
2011-12-07,32.1692
2011-12-08,31.3034
2011-12-09,31.9028
2011-12-12,31.1924
2011-12-13,30.778
2011-12-14,30.4449
2011-12-15,30.6374
2011-12-16,30.6003
2011-12-19,30.2229
2011-12-20,31.2189
2011-12-21,31.1965
2011-12-22,31.4808
2011-12-23,31.6978
2011-12-27,31.6454
2011-12-28,31.1965
2011-12-29,31.5706
2011-12-30,31.5556
2012-01-03,32.1618
2012-01-04,32.1543
2012-01-05,32.0271
2012-01-06,31.7801
2012-01-09,31.8924
2012-01-10,32.1767
2012-01-11,32.289
2012-01-12,32.3039
2012-01-13,32.042
2012-01-17,32.3114
2012-01-18,32.8128
2012-01-19,33.0897
2012-01-20,33.1495
2012-01-23,33.2767
2012-01-24,33.1795
2012-01-25,33.4863
2012-01-26,33.4488
2012-01-27,33.4863
2012-01-30,33.2169
2012-01-31,33.2842
2012-02-01,33.7107
2012-02-02,33.8679
2012-02-03,34.3468
2012-02-06,34.2046
2012-02-07,34.3318
2012-02-08,34.4291
2012-02-09,34.4366
2012-02-10,34.0026
2012-02-13,34.3767
2012-02-14,34.2121
2012-02-15,34.1298
2012-02-16,34.5488
2012-02-17,34.6461
2012-02-21,34.7135
2012-02-22,34.6386
2012-02-23,34.7883
2012-02-24,34.9604
2012-02-27,34.8107
2012-02-28,35.14
2012-02-29,34.9305
2012-03-01,35.1924
2012-03-02,34.9754
2012-03-05,34.7883
2012-03-06,33.8754
2012-03-07,34.257
2012-03-08,34.8182
2012-03-09,34.8706
2012-03-12,34.8033
2012-03-13,35.372
2012-03-14,35.2223
2012-03-15,35.4618
2012-03-16,35.5291
2012-03-19,35.6788
2012-03-20,35.4169
2012-03-21,35.2522
2012-03-22,34.9454
2012-03-23,35.1101
2012-03-26,35.574
2012-03-27,35.4618
2012-03-28,35.2597
2012-03-29,35.0652
2012-03-30,35.3196
2012-04-02,35.6862
2012-04-03,35.3271
2012-04-04,34.7284
2012-04-05,34.6835
2012-04-09,34.4067
2012-04-10,33.7482
2012-04-11,34.0999
2012-04-12,34.706
2012-04-13,34.1747
2012-04-16,34.257
2012-04-17,34.7509
2012-04-18,34.6386
2012-04-19,34.459
2012-04-20,34.5862
2012-04-23,34.1747
2012-04-24,34.3468
2012-04-25,34.7509
2012-04-26,34.9155
2012-04-27,35.0427
2012-04-30,34.9155
2012-05-01,35.0876
2012-05-02,34.9305
2012-05-03,34.6311
2012-05-04,34.0475
2012-05-07,34.1597
2012-05-08,33.7781
2012-05-09,33.4488
2012-05-10,33.5312
2012-05-11,33.4039
2012-05-14,32.9175
2012-05-15,32.5658
2012-05-16,32.2965
2012-05-17,31.7876
2012-05-18,31.6304
2012-05-21,32.1992
2012-05-22,32.1244
2012-05-23,31.9971
2012-05-24,31.9298
2012-05-25,31.7951
2012-05-29,32.2441
2012-05-30,31.638
2012-05-31,31.6754
2012-06-01,30.8822
2012-06-04,30.972
2012-06-05,31.1965
2012-06-06,32.0196
2012-06-07,32.0795
2012-06-08,32.1094
2012-06-11,31.7053
2012-06-12,32.1618
2012-06-13,31.9223
2012-06-14,32.2216
2012-06-15,32.5958
2012-06-18,32.6257
2012-06-19,33.0747
2012-06-20,33.1121
2012-06-21,32.2654
2012-06-22,32.4855
2012-06-25,31.8937
2012-06-26,32.0758
2012-06-27,32.3641
2012-06-28,32.311
2012-06-29,33.282
2012-07-02,33.4793
2012-07-03,33.8055
2012-07-05,33.5021
2012-07-06,33.1227
2012-07-09,33.0469
2012-07-10,32.8269
2012-07-11,32.8648
2012-07-12,32.5993
2012-07-13,33.0772
2012-07-16,33.0317
2012-07-17,33.2062
2012-07-18,33.4489
2012-07-19,33.631
2012-07-20,33.1531
2012-07-23,32.6296
2012-07-24,32.3413
2012-07-25,32.402
2012-07-26,33.1227
2012-07-27,33.7979
2012-07-30,33.7828
2012-07-31,33.5552
2012-08-01,33.5172
2012-08-02,33.1986
2012-08-03,34.0028
2012-08-06,34.1924
2012-08-07,34.4655
2012-08-08,34.4655
2012-08-09,34.549
2012-08-10,34.6097
2012-08-13,34.5338
2012-08-14,34.549
2012-08-15,34.5035
2012-08-16,34.8828
2012-08-17,34.8904
2012-08-20,34.8752
2012-08-21,34.898
2012-08-22,34.8904
2012-08-23,34.6173
2012-08-24,34.7462
2012-08-27,34.6628
2012-08-28,34.6628
2012-08-29,34.6249
2012-08-30,34.2531
2012-08-31,34.4883
2012-09-04,34.3897
2012-09-05,34.329
2012-09-06,35.0952
2012-09-07,35.467
2012-09-10,35.2014
2012-09-11,35.4518
2012-09-12,35.6035
2012-09-13,36.2256
2012-09-14,36.476
2012-09-17,36.2939
2012-09-18,36.2408
2012-09-19,36.2635
2012-09-20,36.0966
2012-09-21,36.0739
2012-09-24,35.9753
2012-09-25,35.649
2012-09-26,35.4214
2012-09-27,35.8084
2012-09-28,35.4214
2012-10-01,35.6111
2012-10-02,35.7021
2012-10-03,35.687
2012-10-04,35.998
2012-10-05,36.0435
2012-10-08,35.8539
2012-10-09,35.4139
2012-10-10,35.3001
2012-10-11,35.4366
2012-10-12,35.3759
2012-10-15,35.6111
2012-10-16,36.0435
2012-10-17,36.3242
2012-10-18,36.2256
2012-10-19,35.6718
2012-10-22,35.8387
2012-10-23,35.2545
2012-10-24,35.2394
2012-10-25,35.4139
2012-10-26,35.2925
2012-10-31,35.2394
2012-11-01,35.7097
2012-11-02,35.4139
2012-11-05,35.4442
2012-11-06,35.558
2012-11-07,35.0876
2012-11-08,34.7235
2012-11-09,34.6931
2012-11-12,34.7311
2012-11-13,34.5566
2012-11-14,34.1166
2012-11-15,34.1545
2012-11-16,34.2759
2012-11-19,34.9435
2012-11-20,34.9511
